finger	dirX	dirY	dirZ	group	w_f	w_b	subj_id
4	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
4	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
4	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
4	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
4	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
4	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
4	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
4	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
4	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
4	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	0.0	-1.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
3	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
1	0.0	1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
1	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
0	-1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
4	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
0	0.0	0.0	1.0	stroke	0.22739233746429086	0.5809360141291611	100
0	0.0	-1.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
2	1.0	0.0	0.0	stroke	0.22739233746429086	0.5809360141291611	100
